time	2019,28417722,237279
life	2019,13486854,222286
eyes	2019,9708378,187430
work	2019,9694729,226267
hand	2019,9507012,217339
head	2019,8745607,204188
part	2019,8472446,236492
case	2019,7836944,211044
face	2019,7368495,198478
body	2019,7251676,207912
data	2019,6913809,116304
room	2019,6847004,198336
home	2019,6722434,208548
side	2019,6442003,215921
door	2019,5725708,170090
fact	2019,5614020,207989
days	2019,5246234,209024
mind	2019,5224083,203494
name	2019,5086079,210871
book	2019,5066179,232353
year	2019,4962135,207734
form	2019,4696135,222939
kind	2019,4374448,209923
love	2019,4123935,169755
idea	2019,3988452,202345
word	2019,3979358,195708
line	2019,3758018,206224
role	2019,3756640,155389
area	2019,3748006,179907
food	2019,3637673,185365
city	2019,3629601,166531
view	2019,3301585,193377
self	2019,3252029,182070
ways	2019,3176935,202812
care	2019,3144421,185724
girl	2019,3114980,134892
risk	2019,3092542,154254
feet	2019,3083490,167112
land	2019,3080932,162213
rate	2019,3046528,151284
type	2019,3004468,182042
hair	2019,2838187,146593
wife	2019,2812173,154059
arms	2019,2707760,157627
need	2019,2706023,197058
back	2019,2700741,174040
rest	2019,2636806,202874
fire	2019,2636052,166546
pain	2019,2559992,151209
size	2019,2376725,177598
town	2019,2306268,149444
team	2019,2239898,137888
loss	2019,2233221,177349
term	2019,2230197,160218
cell	2019,2220125,104719
plan	2019,2215301,175773
look	2019,2163612,170088
test	2019,2159713,147241
step	2019,2137427,193812
wall	2019,2121934,157800
road	2019,2080903,163727
text	2019,2073356,148115
half	2019,2046193,192501
skin	2019,2004853,141624
cost	2019,1991584,143737
lips	2019,1982960,110571
week	2019,1928324,169319
game	2019,1926043,154003
hour	2019,1908288,167511
fear	2019,1806236,166699
news	2019,1796730,157921
past	2019,1795619,182414
soul	2019,1771295,131213
ones	2019,1770997,195100
king	2019,1730749,94780
sort	2019,1695508,158200
path	2019,1661279,175695
heat	2019,1654516,137541
tree	2019,1640670,146734
help	2019,1639281,190857
list	2019,1613931,175843
rule	2019,1602986,152114
flow	2019,1592613,132005
task	2019,1583748,163109
lack	2019,1562796,170241
mass	2019,1561739,139725
turn	2019,1484552,186063
baby	2019,1467675,120395
date	2019,1466701,168313
laws	2019,1429348,132597
film	2019,1425622,84142
site	2019,1422611,122246
neck	2019,1391038,123327
legs	2019,1389320,126973
wind	2019,1389116,132955
base	2019,1363532,156380
note	2019,1349544,166807
edge	2019,1344640,152098
goal	2019,1343984,147930
race	2019,1334451,136765
will	2019,1310690,153280
none	2019,1287382,178017
page	2019,1281011,148386
seat	2019,1278658,136989
unit	2019,1261453,116165
hope	2019,1258736,163084
drug	2019,1254336,80068
call	2019,1238821,156771
army	2019,1238608,100617
lady	2019,1235769,104045
foot	2019,1232265,145299
sign	2019,1226759,169451
boys	2019,1215706,117756
gaze	2019,1214765,91716
ship	2019,1214422,94285
tone	2019,1193430,133296
deal	2019,1184053,163158
soil	2019,1172764,94373
duty	2019,1160476,129990
play	2019,1127557,141307
wine	2019,1107171,104112
fish	2019,1106821,116306
bank	2019,1101865,120778
code	2019,1081313,105473
kids	2019,1074819,92015
core	2019,1061446,128335
gold	2019,1020347,129221
