people	2019,16890986,226287
system	2019,7926256,201513
things	2019,7697309,212253
number	2019,7030818,210247
family	2019,6559591,204887
person	2019,5991479,207190
others	2019,5966740,215175
course	2019,5494134,209485
moment	2019,5420129,193706
mother	2019,4965881,169921
father	2019,4938569,162754
school	2019,4339168,176518
matter	2019,4129301,205381
nature	2019,3911485,195356
health	2019,3840500,161178
energy	2019,3735843,166266
change	2019,3720898,198534
reason	2019,3628269,205886
effect	2019,3547177,183374
period	2019,3455683,174464
action	2019,3318228,185343
policy	2019,3164985,108427
ground	2019,3128068,194951
result	2019,3030010,181114
friend	2019,3014106,174070
groups	2019,3008435,152814
rights	2019,2926108,205894
method	2019,2906119,143227
market	2019,2869727,137722
theory	2019,2840466,136527
values	2019,2654945,113573
months	2019,2623949,186034
growth	2019,2611824,134555
issues	2019,2446982,144944
design	2019,2446527,147387
office	2019,2419823,159508
levels	2019,2352264,133969
states	2019,2322646,124877
amount	2019,2196705,179831
events	2019,2190601,182531
anyone	2019,2174674,167056
future	2019,2116975,184932
source	2019,2096516,170976
impact	2019,2049379,137544
church	2019,2027329,109262
letter	2019,1970888,142236
access	2019,1968670,149258
series	2019,1952530,173515
window	2019,1942646,153971
answer	2019,1911469,180780
breath	2019,1907542,132130
choice	2019,1905054,188071
models	2019,1891344,115339
chance	2019,1890506,182781
points	2019,1863276,172386
police	2019,1842556,107935
region	2019,1800736,119175
memory	2019,1800617,161630
manner	2019,1780701,171671
sister	2019,1770381,128174
status	2019,1765764,134054
object	2019,1723478,135922
weight	2019,1706861,171778
figure	2019,1701644,166568
degree	2019,1666263,162678
living	2019,1656801,183122
report	2019,1647893,143560
spirit	2019,1639168,145125
length	2019,1637311,163789
author	2019,1621506,187294
couple	2019,1593677,154843
skills	2019,1586485,123942
member	2019,1526791,161403
places	2019,1520913,187993
effort	2019,1518224,180274
volume	2019,1517489,134064
forces	2019,1497930,127333
income	2019,1485183,92615
street	2019,1441163,141008
return	2019,1437026,166973
factor	2019,1430436,115944
extent	2019,1428198,144927
review	2019,1427274,117708
desire	2019,1395474,157639
center	2019,1387782,131188
safety	2019,1381736,150496
speech	2019,1374025,131891
images	2019,1342792,134729
corner	2019,1341894,146973
stress	2019,1340718,111654
bodies	2019,1337302,154139
sample	2019,1284160,85108
master	2019,1278013,138286
nation	2019,1264218,104199
summer	2019,1258239,143614
vision	2019,1231132,149471
dinner	2019,1230576,121989
battle	2019,1222721,128642
attack	2019,1211788,132460
animal	2019,1207523,131523
charge	2019,1204816,157156
cancer	2019,1190112,63386
middle	2019,1177708,174536
plants	2019,1176297,102029
coffee	2019,1165456,110585
doctor	2019,1158265,115642
gender	2019,1134180,70140
search	2019,1112856,155840
motion	2019,1105901,128052
target	2019,1103589,115823
leader	2019,1087116,120869
career	2019,1064717,130138
demand	2019,1062967,120789
sector	2019,1053649,58338
supply	2019,1051884,113767
record	2019,1049579,158065
cities	2019,1042474,108298
public	2019,1033493,133462
beauty	2019,1020979,129256
powers	2019,1016296,116009
output	2019,1013461,60311
fields	2019,1004910,137003
belief	2019,993598,130551
minute	2019,989566,139033
crisis	2019,983362,102821
forest	2019,979821,94006
pieces	2019,977747,159848
tongue	2019,969113,115185
regard	2019,966947,126728
humans	2019,966412,94461
throat	2019,964554,101186
detail	2019,958259,157577
danger	2019,957586,146195
damage	2019,951593,126514
bottom	2019,944324,156054
credit	2019,937506,122440
client	2019,937345,59861
finger	2019,926734,118999
notion	2019,920617,107267
agents	2019,915210,93444
garden	2019,910576,107975
relief	2019,906556,137789
orders	2019,898649,131948
houses	2019,884066,126816
device	2019,880670,97264
option	2019,877410,121638
island	2019,876966,89535
spring	2019,875488,132101
tissue	2019,863637,56679
signal	2019,860575,98439
screen	2019,860017,107940
advice	2019,859767,159484
aspect	2019,858446,131240
threat	2019,858263,122628
winter	2019,854432,119050
injury	2019,850469,90732
agency	2019,847517,86197
carbon	2019,838939,42739
adults	2019,829802,90915
matrix	2019,829706,41798
claims	2019,829045,100724
heaven	2019,828878,96077
horses	2019,828369,82363
season	2019,818008,108407
origin	2019,810119,111506
wealth	2019,802217,119207
papers	2019,801471,129735
domain	2019,800017,84158
fellow	2019,797139,117090
prison	2019,784834,96586
circle	2019,773745,139891
prices	2019,772727,71701
pocket	2019,771176,108328
reader	2019,769307,115519
survey	2019,762576,83474
assets	2019,754636,56255
making	2019,749327,119383
height	2019,734823,130051
labour	2019,730678,52996
beings	2019,726563,97544
courts	2019,724426,61582
muscle	2019,718899,72621
actors	2019,714588,68633
flight	2019,710268,114437
centre	2019,708089,78409
thanks	2019,706532,152763
driver	2019,705087,107355
limits	2019,698270,127880
silver	2019,692751,105426
stairs	2019,689866,87389
troops	2019,689500,58402
prayer	2019,686739,83618
wisdom	2019,686022,109163
estate	2019,679696,85319
breast	2019,679248,81274
scheme	2019,674516,105739
lights	2019,669994,117035
leaves	2019,665679,99891
latter	2019,659704,110327
regime	2019,658746,56775
debate	2019,657262,92385
spaces	2019,657185,91360
stages	2019,654372,111894
writer	2019,652358,100959
stream	2019,649457,120859
murder	2019,648054,85777
bridge	2019,645641,110094
bottle	2019,637499,98339
second	2019,619481,145074
parent	2019,615013,95127
glance	2019,613483,108858
dreams	2019,611284,114413
border	2019,608475,85829
voices	2019,607913,119103
shadow	2019,603128,113134
reform	2019,602357,53891
oxygen	2019,592508,52500
notice	2019,592498,115533
camera	2019,585290,72834
profit	2019,584344,85702
