écran 148054,NOUN,HAS_EXAMPLE
poète 147509,NOUN
êtres 147459,NOUN,PLURAL
volume 146768,NOUN
civile 145554,ADJECTIVE
ordres 146464,NOUN,PLURAL
héros 145287,NOUN,HAS_EXAMPLE
francs 145298,ADJECTIVE
musée 145238,NOUN,HAS_EXAMPLE
terres 144777,NOUN,PLURAL
aspect 144237,NOUN
léger 144023,ADJECTIVE
sauver 142080,VERB,HAS_EXAMPLE
tenter 142230,VERB,HAS_EXAMPLE
baiser 142027,NOUN
photos 141952,NOUN,PLURAL
faudra 142250,VERB,3PS,INFLECTED_FORM
étape 141242,NOUN
profit 140671,NOUN,HAS_EXAMPLE
prends 140559,VERB,FORM_OF,IMP,INFLECTED_FORM
trouva 140084,VERB,3PS,INFLECTED_FORM
client 139890,NOUN,HAS_EXAMPLE
samedi 139450,NOUN
outils 139452,NOUN,PLURAL
serais 138513,VERB
courir 136939,VERB,HAS_EXAMPLE
chaise 136832,NOUN
délai 136760,NOUN,HAS_EXAMPLE
touche 136427,NOUN
course 136413,NOUN
cacher 135284,ADJECTIVE
nouvel 134365,ADJECTIVE,HAS_EXAMPLE
marque 134290,NOUN
examen 133428,NOUN,HAS_EXAMPLE
prête 132565,ADJECTIVE
dirait 132651,VERB,3PS,INFLECTED_FORM
créé 131068,PARTICIPLE
signes 129805,NOUN,PLURAL
chasse 129544,NOUN,HAS_EXAMPLE
menace 129263,NOUN
repris 128922,PARTICIPLE
normal 128739,ADJECTIVE
partis 128488,PARTICIPLE
privé 128261,ADJECTIVE
sommet 128236,NOUN,HAS_EXAMPLE
devons 128068,NOUN,PLURAL
pointe 127281,NOUN
humeur 127143,NOUN
patron 126268,NOUN,HAS_EXAMPLE
agents 126116,NOUN,PLURAL
attend 126126,VERB,3PS,INFLECTED_FORM
bateau 126085,ADJECTIVE
avocat 126080,NOUN
gloire 125368,NOUN,HAS_EXAMPLE
debout 125119,ADVERB
saisir 124857,VERB
lança 125624,VERB,3PS,INFLECTED_FORM
battre 124447,VERB
malade 123756,ADJECTIVE,HAS_EXAMPLE
totale 124132,ADJECTIVE
degré 123511,NOUN
rêves 123626,NOUN,PLURAL
offrir 122417,VERB,HAS_EXAMPLE
charme 122023,NOUN,HAS_EXAMPLE
écart 121717,NOUN,HAS_EXAMPLE
gestes 120993,NOUN,PLURAL
tendit 120547,VERB,3PS,INFLECTED_FORM
saisit 120223,VERB,3PS,FORM_OF,INFLECTED_FORM
règne 120488,NOUN
minute 119717,INTERJECTION
viande 119355,NOUN
destin 119141,NOUN
resté 119468,PARTICIPLE
génie 118861,NOUN
animal 118516,ADJECTIVE
entend 118219,VERB,3PS,INFLECTED_FORM
rouges 118252,NOUN,PLURAL
disent 117919,VERB,INFLECTED_FORM,SUBJ
cartes 117441,NOUN,PLURAL
impact 117072,NOUN
porté 117135,ADJECTIVE,HAS_EXAMPLE
ennemi 116473,ADJECTIVE,HAS_EXAMPLE
traces 117058,NOUN,PLURAL
ajoute 116457,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
contre 116173,NOUN
champs 116388,NOUN,PLURAL
grosse 114262,ADJECTIVE
revoir 113626,VERB
change 113818,NOUN,HAS_EXAMPLE
échec 113338,INTERJECTION
chère 112512,ADJECTIVE
poussa 113021,VERB,3PS,INFLECTED_FORM
divers 112266,ADJECTIVE
miroir 111768,NOUN
repose 111721,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
nommé 111539,PARTICIPLE
refuse 111714,VERB,3PS,FORM_OF,IMP,INFLECTED_FORM,SUBJ
limite 110834,ADJECTIVE,HAS_EXAMPLE
cercle 110463,NOUN
revint 109884,VERB,3PS,INFLECTED_FORM
soumis 109326,ADJECTIVE
nation 109024,NOUN
retard 109031,NOUN
étais 109272,NOUN,PLURAL
sortes 109155,NOUN,PLURAL
tenant 107986,NOUN,HAS_EXAMPLE
pousse 108229,NOUN
avance 107962,NOUN,HAS_EXAMPLE
dîner 107666,NOUN
débat 107921,NOUN
devais 107563,VERB
alcool 107141,NOUN
rendez 106764,VERB,FORM_OF,IMP,INFLECTED_FORM
promis 106589,PARTICIPLE
savent 106125,VERB
firent 106114,VERB
locale 105811,ADJECTIVE
tenté 105421,PARTICIPLE
pareil 104963,ADJECTIVE,HAS_EXAMPLE
époux 104038,NOUN
normes 103934,NOUN,PLURAL
direct 102750,ADJECTIVE
lancer 102771,NOUN
estime 103140,NOUN,HAS_EXAMPLE
causes 102046,NOUN,PLURAL
thème 101968,NOUN,HAS_EXAMPLE
secoua 101387,VERB,3PS,INFLECTED_FORM
dépit 101334,NOUN
courte 100388,ADJECTIVE
gérer 100332,VERB,HAS_EXAMPLE
accent 100327,NOUN,HAS_EXAMPLE
soupir 99581,NOUN
fameux 99384,ADJECTIVE,HAS_EXAMPLE
rendit 99257,VERB,3PS,INFLECTED_FORM
voulut 99213,VERB,3PS,INFLECTED_FORM
empire 97256,NOUN
quête 97422,NOUN
bière 97188,NOUN,HAS_EXAMPLE
assise 96806,ADJECTIVE
former 96255,VERB
gardes 96086,NOUN,PLURAL
obtenu 95745,PARTICIPLE
blancs 95433,ADJECTIVE
tendre 94728,ADJECTIVE
éclat 94351,NOUN,HAS_EXAMPLE
froide 94481,ADJECTIVE
vendre 94039,VERB,HAS_EXAMPLE
cessé 93509,PARTICIPLE
