concept 128989,NOUN
secours 128626,NOUN
relève 128345,NOUN
retenir 128297,VERB,HAS_EXAMPLE
anglais 127237,ADJECTIVE,HAS_EXAMPLE
dessous 126744,ADVERB
envoyé 125102,NOUN
douceur 124484,NOUN
chaîne 124337,NOUN,HAS_EXAMPLE
lecteur 123673,NOUN
patient 122972,ADJECTIVE
crainte 122708,NOUN
demeure 122188,NOUN
surpris 121990,ADJECTIVE
paysage 121501,NOUN
formule 121523,NOUN,HAS_EXAMPLE
réelle 119399,ADJECTIVE
capital 118755,ADJECTIVE,HAS_EXAMPLE
complet 118505,ADJECTIVE
tension 117603,NOUN,HAS_EXAMPLE
portée 117512,NOUN,HAS_EXAMPLE
adresse 117187,NOUN,HAS_EXAMPLE
rupture 116605,NOUN
amitié 116130,NOUN
horizon 116046,NOUN
section 114837,NOUN
chemise 112790,NOUN
parfait 112489,ADJECTIVE,HAS_EXAMPLE
vigueur 112402,NOUN
poisson 111110,NOUN,HAS_EXAMPLE
séance 110764,NOUN
traité 110954,NOUN
malheur 110729,NOUN,HAS_EXAMPLE
envoyer 110200,VERB
indique 110361,ADJECTIVE
inverse 109728,ADJECTIVE
cabinet 108095,NOUN
coucher 107972,NOUN,HAS_EXAMPLE
proches 107888,ADJECTIVE
pleurer 107587,VERB
canapé 107485,NOUN
humains 106975,ADJECTIVE
urgence 107108,NOUN,HAS_EXAMPLE
horreur 106731,NOUN,HAS_EXAMPLE
artiste 106016,NOUN
poésie 104763,NOUN
glisser 104489,VERB,HAS_EXAMPLE
inutile 104392,ADJECTIVE
morceau 104121,NOUN,HAS_EXAMPLE
sachant 104031,NOUN
relever 103995,VERB
avancer 103265,VERB,HAS_EXAMPLE
prêtre 102780,NOUN
église 101574,NOUN
central 101211,ADJECTIVE
feuille 100693,NOUN
élevé 100312,ADJECTIVE,HAS_EXAMPLE
décret 99801,NOUN
vallée 99881,NOUN
établi 99451,ADJECTIVE
essence 99169,NOUN
obligé 98458,ADJECTIVE
pousser 98363,VERB,HAS_EXAMPLE
crédit 98031,NOUN,HAS_EXAMPLE
plafond 97661,NOUN
locales 97754,ADJECTIVE
fatigue 96625,NOUN,HAS_EXAMPLE
privée 96505,ADJECTIVE
témoin 96854,NOUN
traiter 95348,VERB,HAS_EXAMPLE
ouverte 95450,ADJECTIVE
inconnu 94899,ADJECTIVE,HAS_EXAMPLE
adultes 94103,ADJECTIVE
couteau 94389,NOUN
épouse 92341,NOUN
partage 91490,NOUN,HAS_EXAMPLE
cellule 91591,NOUN
attendu 90936,ADJECTIVE,HAS_EXAMPLE
prénom 90873,NOUN,HAS_EXAMPLE
élève 90795,NOUN
visible 90754,ADJECTIVE
fournir 90610,VERB,HAS_EXAMPLE
manteau 90505,NOUN,HAS_EXAMPLE
prière 90152,NOUN
visiter 89828,VERB,HAS_EXAMPLE
liquide 89622,ADJECTIVE
fidèle 89608,ADJECTIVE,HAS_EXAMPLE
dizaine 89358,NOUN
intense 89044,ADJECTIVE
prouver 89200,VERB
moyenne 88549,ADJECTIVE
réduit 88458,NOUN
retirer 87399,VERB,HAS_EXAMPLE
plateau 87190,NOUN
monnaie 86975,NOUN,HAS_EXAMPLE
chapeau 85339,NOUN
sagesse 85290,NOUN
remplir 85011,VERB,HAS_EXAMPLE
occupé 84979,ADJECTIVE,HAS_EXAMPLE
curieux 84666,ADJECTIVE,HAS_EXAMPLE
directe 84507,ADJECTIVE
décès 84656,NOUN,HAS_EXAMPLE
exercer 84051,VERB,HAS_EXAMPLE
parlant 84019,ADJECTIVE,HAS_EXAMPLE
désert 83743,ADJECTIVE
chagrin 83521,ADJECTIVE
absolue 82977,ADJECTIVE
chanson 82134,NOUN
écoute 82087,NOUN
attirer 82027,VERB
costume 81483,NOUN
frapper 80843,VERB,HAS_EXAMPLE
confort 80669,NOUN
meurtre 80510,NOUN
magasin 80051,NOUN,HAS_EXAMPLE
atelier 79987,NOUN
station 79874,NOUN
refuser 79632,VERB
mépris 79672,NOUN
reposer 79559,VERB
pauvres 79164,ADJECTIVE
annonce 78781,NOUN
maximum 78470,NOUN
ramener 77668,VERB,HAS_EXAMPLE
assuré 77595,ADJECTIVE
positif 77280,ADJECTIVE
symbole 76610,NOUN
frappé 76326,ADJECTIVE
ménage 76198,NOUN,HAS_EXAMPLE
automne 76348,NOUN
estomac 75873,NOUN
comité 75609,NOUN
poussé 75661,NOUN
salaire 75314,NOUN
manquer 74961,VERB,HAS_EXAMPLE,INF
panique 75071,ADJECTIVE,HAS_EXAMPLE
durable 74859,ADJECTIVE,HAS_EXAMPLE
nerveux 74833,ADJECTIVE,HAS_EXAMPLE
chiffre 74805,NOUN
terreur 74822,NOUN,HAS_EXAMPLE
nourrir 74399,VERB
misère 74144,NOUN,HAS_EXAMPLE
tombée 73734,NOUN
voisine 73889,ADJECTIVE
parking 73452,NOUN
piscine 73308,NOUN
touché 72625,NOUN
liaison 72551,NOUN
facteur 72067,NOUN
régler 72216,VERB,HAS_EXAMPLE
sauvage 71583,ADJECTIVE,HAS_EXAMPLE
colonel 71385,NOUN
lâcher 71259,NOUN
manqué 71627,ADJECTIVE,HAS_EXAMPLE
mérite 71000,NOUN
faibles 70358,ADJECTIVE
façade 70314,NOUN,HAS_EXAMPLE
colonne 70473,NOUN
peintre 70284,NOUN
branche 70257,NOUN
trouble 70272,ADJECTIVE
exister 69797,VERB
sombres 69527,ADJECTIVE
remonte 68678,NOUN
diriger 68531,VERB,HAS_EXAMPLE
chérie 68313,ADJECTIVE
pénale 68139,ADJECTIVE
malades 67959,ADJECTIVE
magique 67397,ADJECTIVE,HAS_EXAMPLE
abandon 67395,NOUN,HAS_EXAMPLE
réagir 67112,VERB
vivante 67009,ADJECTIVE
relatif 67047,ADJECTIVE,HAS_EXAMPLE
gratuit 66905,ADJECTIVE,HAS_EXAMPLE
opposé 66453,ADJECTIVE
fierté 66114,NOUN
adopter 66379,VERB
fromage 65837,NOUN,HAS_EXAMPLE
imposer 66010,VERB,HAS_EXAMPLE
globale 65441,ADJECTIVE
superbe 65272,ADJECTIVE
mention 65105,NOUN
chinois 64831,ADJECTIVE
monstre 64787,ADJECTIVE
majeure 64613,ADJECTIVE
miracle 64022,NOUN
pension 63971,NOUN,HAS_EXAMPLE
concert 63738,NOUN
antique 63681,ADJECTIVE
retrait 63827,NOUN
cadavre 63613,NOUN
mentale 63402,ADJECTIVE
modeste 63444,ADJECTIVE
marquis 63107,NOUN
galerie 62973,NOUN
colline 62950,NOUN,HAS_EXAMPLE
fiction 62901,NOUN
chanter 62664,VERB,HAS_EXAMPLE
normale 62541,ADJECTIVE
aveugle 62298,ADJECTIVE,HAS_EXAMPLE
fièvre 62080,NOUN
inquiet 62309,ADJECTIVE
confier 61960,VERB,HAS_EXAMPLE
occuper 62089,VERB,HAS_EXAMPLE
ampleur 61657,NOUN
furieux 61574,ADJECTIVE
ignorer 61440,VERB
paradis 61398,NOUN
content 61433,ADJECTIVE
chasser 61319,VERB,HAS_EXAMPLE
schéma 61453,NOUN
préfet 60885,NOUN
mesurer 61006,VERB,HAS_EXAMPLE
réveil 60629,NOUN,HAS_EXAMPLE
mondial 60547,ADJECTIVE
pensant 60233,ADJECTIVE,HAS_EXAMPLE
citoyen 60124,ADJECTIVE
fragile 59964,ADJECTIVE
deviner 59923,VERB
admirer 59919,VERB
secrets 59768,ADJECTIVE
restant 59749,ADJECTIVE
experts 59599,ADJECTIVE
trésor 59121,NOUN,HAS_EXAMPLE
posture 58979,NOUN
aborder 58717,VERB
adopté 58791,NOUN
minimum 58619,NOUN
hommage 58544,NOUN,HAS_EXAMPLE
communs 58415,ADJECTIVE
sortant 57958,ADJECTIVE,HAS_EXAMPLE
limiter 57884,VERB
plainte 57830,NOUN
divorce 57176,NOUN
tromper 57110,VERB,HAS_EXAMPLE
attaque 56754,NOUN
étroit 56360,ADJECTIVE
rigueur 56189,NOUN
clarté 56088,NOUN
aimable 55930,ADJECTIVE,HAS_EXAMPLE
reprise 55384,NOUN,HAS_EXAMPLE
sphère 55239,NOUN
malaise 55270,ADJECTIVE
goûter 55341,NOUN
violent 55069,ADJECTIVE
italien 55060,ADJECTIVE
enlever 54332,VERB,HAS_EXAMPLE
dommage 54318,NOUN,HAS_EXAMPLE
couvrir 54252,VERB
esclave 54279,NOUN
veiller 54157,VERB
péché 53239,NOUN,HAS_EXAMPLE
recueil 53286,NOUN
montée 53298,NOUN,HAS_EXAMPLE
auprès 53262,ADVERB
constat 52589,NOUN
falloir 52581,VERB,HAS_EXAMPLE
prêter 52467,VERB,HAS_EXAMPLE
invité 52426,ADJECTIVE
accusé 52531,NOUN
portail 52171,NOUN,HAS_EXAMPLE
urbaine 52050,ADJECTIVE
morales 51742,ADJECTIVE
couché 51670,ADJECTIVE
partant 51488,ADJECTIVE,HAS_EXAMPLE
privés 51393,ADJECTIVE
soigner 51092,VERB
grecque 51036,ADJECTIVE
dépôt 51007,NOUN,HAS_EXAMPLE
balance 50914,NOUN
orgueil 50859,NOUN,HAS_EXAMPLE
exposé 50849,ADJECTIVE
fameuse 50763,ADJECTIVE
support 50653,NOUN
bizarre 50405,ADJECTIVE,HAS_EXAMPLE
coutume 50286,NOUN
cuisson 50310,NOUN
détour 50191,NOUN
suicide 49990,NOUN
frisson 49970,NOUN
blessé 49890,ADJECTIVE
emmener 49616,VERB
poignet 49802,NOUN
aperçu 49375,NOUN,HAS_EXAMPLE
soutenu 48896,ADJECTIVE,HAS_EXAMPLE
battant 48797,ADJECTIVE,HAS_EXAMPLE
absurde 48471,ADJECTIVE
grosses 48501,ADJECTIVE
gâteau 47854,NOUN
couvert 47503,ADJECTIVE
gorgée 46867,NOUN
auberge 46768,NOUN
engager 46708,VERB
éclair 46120,ADJECTIVE
ouverts 46042,ADJECTIVE
verrons 46154,VERB
notaire 45343,NOUN
croiser 45194,VERB,HAS_EXAMPLE
défini 45333,ADJECTIVE
romaine 44749,ADJECTIVE
tantôt 44494,ADVERB,HAS_EXAMPLE
boisson 44427,NOUN,HAS_EXAMPLE
entrant 44418,ADJECTIVE,HAS_EXAMPLE
ressort 44350,NOUN
prirent 43876,VERB
